loan_id,orig_balance,current_balance,coupon,fico,ltv,dti,seasoning_mo,remaining_term_mo,state,property_type,originator,servicer,base_cpr,base_cdr
L100367,182082.01,179543.04,5.926,694,71.9,28.0,4,176,NY,2-4 Unit,Apex Funding,Pier Asset Mgmt,0.06716,0.008256666666666667
L100368,260617.0,248987.83,6.664,666,72.4,28.5,45,315,WA,SFR,Apex Funding,Northgate Servicing,0.07680000000000001,0.01114
L100369,326287.71,325931.98,5.521,758,82.8,48.9,1,359,FL,Multifamily,Coastal Mortgage Co,Summit Loan Servicing,0.062465,0.008
L100370,243774.55,240081.39,6.807,654,55.3,41.0,17,343,FL,2-4 Unit,Apex Funding,Pier Asset Mgmt,0.05546833333333332,0.011463333333333334
L100371,386596.27,335802.08,5.976,702,66.9,53.0,35,145,GA,2-4 Unit,Meridian Home Loans,Northgate Servicing,0.1112,0.008623333333333334
L100372,327707.88,312319.85,6.515,709,60.4,32.4,46,314,NC,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.08425000000000002,0.008
L100373,325994.9,323825.63,7.646,803,95.3,37.0,9,351,NY,SFR,Highline Capital,Northgate Servicing,0.06,0.008
L100374,294767.08,260313.87,6.249,695,84.5,30.7,32,148,AZ,Condo,Apex Funding,Summit Loan Servicing,0.09755000000000003,0.009596666666666667
L100375,548355.23,532718.19,7.228,581,47.6,37.1,9,171,AZ,Multifamily,Apex Funding,Northgate Servicing,0.049999999999999996,0.017733333333333334
L100376,225978.11,223386.05,4.787,743,55.8,21.8,3,177,TX,SFR,Highline Capital,Pier Asset Mgmt,0.071065,0.008
L100377,120423.17,117897.53,5.977,677,72.4,41.5,20,340,WA,SFR,Apex Funding,Summit Loan Servicing,0.09409999999999999,0.010906666666666669
L100378,425699.52,413937.82,6.425,717,68.3,38.6,28,332,TX,SFR,Apex Funding,Pier Asset Mgmt,0.08683333333333335,0.008
L100379,206861.59,205031.39,8.131,710,58.1,35.5,13,347,GA,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.06,0.008
L100380,252144.64,235872.72,4.636,700,97.0,32.9,46,314,IL,2-4 Unit,Highline Capital,Northgate Servicing,0.1782,0.010493333333333334
L100381,383978.85,343819.94,6.313,758,77.8,28.8,29,151,IL,SFR,Apex Funding,Pier Asset Mgmt,0.09320500000000001,0.008
L100382,138580.85,136372.05,7.711,631,79.7,41.8,21,339,TX,SFR,Apex Funding,Summit Loan Servicing,0.049999999999999996,0.016256666666666666
L100383,156674.15,143269.49,5.693,687,65.7,26.6,23,157,NY,Condo,Meridian Home Loans,Pier Asset Mgmt,0.11010166666666668,0.008243333333333333
L100384,138628.47,135547.09,6.208,753,82.7,40.1,22,338,CA,SFR,Highline Capital,Summit Loan Servicing,0.08904,0.008
L100385,183882.51,182909.58,6.699,681,69.4,52.6,6,354,WA,SFR,Coastal Mortgage Co,Northgate Servicing,0.06301,0.010946666666666667
L100386,283189.85,275270.22,6.566,627,70.6,47.9,29,331,TX,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.07097666666666667,0.016153333333333332
L100387,291695.5,283215.75,7.809,752,81.3,24.0,37,323,IL,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100388,267452.15,262641.2,6.804,777,54.5,31.7,20,340,FL,Multifamily,Meridian Home Loans,Northgate Servicing,0.06653333333333332,0.008
L100389,148083.55,145669.98,7.595,713,93.2,39.4,21,339,TX,Condo,Meridian Home Loans,Northgate Servicing,0.06,0.009246666666666667
L100390,108170.48,103086.38,6.076,607,76.2,35.4,43,317,NY,Multifamily,Meridian Home Loans,Pier Asset Mgmt,0.09620000000000002,0.01788
L100391,247464.83,239424.3,5.734,754,89.4,24.8,29,331,WA,SFR,Meridian Home Loans,Summit Loan Servicing,0.12119,0.008
L100392,205844.93,202987.8,6.197,624,61.1,39.1,14,346,IL,Condo,Coastal Mortgage Co,Northgate Servicing,0.06873666666666667,0.014916666666666668
L100393,285154.1,284833.49,5.357,732,62.9,35.9,1,359,WA,SFR,Highline Capital,Summit Loan Servicing,0.06273833333333333,0.008
L100394,310420.7,298978.14,6.835,666,60.1,51.3,39,321,OH,Condo,Highline Capital,Pier Asset Mgmt,0.06825,0.011430000000000001
L100395,254838.3,246726.46,6.053,651,77.0,34.0,30,330,IL,SFR,Meridian Home Loans,Summit Loan Servicing,0.09735,0.013466666666666668
L100396,316806.54,306246.97,5.795,691,74.8,45.3,30,330,WA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.12025,0.009999999999999998
L100397,263082.77,259854.56,6.849,705,68.4,25.9,14,346,NY,SFR,Highline Capital,Summit Loan Servicing,0.06352333333333332,0.008
L100398,292296.11,289292.75,5.371,680,61.8,27.8,9,351,GA,2-4 Unit,Apex Funding,Northgate Servicing,0.084435,0.008633333333333333
L100399,189731.34,174468.9,7.093,747,58.8,41.8,24,156,NC,2-4 Unit,Highline Capital,Summit Loan Servicing,0.06,0.008
L100400,228008.0,219030.46,5.969,690,73.4,44.7,36,324,GA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.11154999999999998,0.009920000000000002
L100401,260113.05,257266.49,7.443,769,68.4,28.3,14,346,OH,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100402,323574.6,315091.94,6.047,730,65.8,36.2,25,335,TX,Condo,Meridian Home Loans,Pier Asset Mgmt,0.09970833333333334,0.008
L100403,211544.49,202147.55,6.969,677,92.6,24.9,47,313,IL,SFR,Apex Funding,Pier Asset Mgmt,0.06154999999999998,0.01182
L100404,291387.29,288444.85,6.562,667,73.0,34.6,11,349,NC,SFR,Meridian Home Loans,Northgate Servicing,0.06803,0.011506666666666667
L100405,221229.61,219203.27,7.07,624,89.2,42.7,11,349,NY,2-4 Unit,Coastal Mortgage Co,Northgate Servicing,0.049999999999999996,0.01796666666666667
L100406,233015.5,230410.53,6.499,731,67.6,32.5,12,348,OH,SFR,Coastal Mortgage Co,Northgate Servicing,0.07002,0.008
L100407,324594.39,267171.36,4.903,695,76.9,34.0,43,137,NY,Condo,Highline Capital,Northgate Servicing,0.16485000000000002,0.009056666666666668
L100408,120864.92,118356.3,7.308,585,73.3,27.0,25,335,NY,Condo,Highline Capital,Northgate Servicing,0.049999999999999996,0.019229999999999997
L100409,154235.31,147108.45,6.321,686,53.6,30.8,44,316,NY,Condo,Coastal Mortgage Co,Summit Loan Servicing,0.09395,0.008
L100410,144528.95,138572.06,7.111,665,91.1,50.1,45,315,NC,SFR,Apex Funding,Summit Loan Servicing,0.06,0.01455
L100411,107283.95,105431.57,7.021,802,72.4,36.6,20,340,TX,Multifamily,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008
L100412,191493.17,190885.25,5.704,621,83.0,28.0,3,357,TX,SFR,Highline Capital,Pier Asset Mgmt,0.056479999999999995,0.01666666666666667
L100413,315622.41,310345.48,5.577,636,65.0,33.5,15,345,AZ,2-4 Unit,Coastal Mortgage Co,Summit Loan Servicing,0.085575,0.013733333333333334
L100414,219759.84,214708.91,6.99,776,72.0,23.2,26,334,FL,2-4 Unit,Apex Funding,Pier Asset Mgmt,0.060433333333333325,0.008
L100415,260205.38,255451.89,6.127,790,63.6,27.9,18,342,TX,Condo,Highline Capital,Summit Loan Servicing,0.08619,0.008
L100416,355480.66,355202.96,7.243,674,88.8,46.9,1,359,FL,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.013206666666666665
L100417,386423.87,366922.16,6.24,680,77.7,34.9,47,313,NY,SFR,Meridian Home Loans,Northgate Servicing,0.09799999999999999,0.010696666666666667
L100418,236996.75,234142.54,7.321,749,78.4,51.1,15,345,CA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008
L100419,389942.69,379066.45,6.781,587,90.3,35.2,30,330,OH,SFR,Highline Capital,Pier Asset Mgmt,0.06095000000000001,0.021276666666666666
L100420,250758.18,239559.06,6.659,613,87.9,35.7,45,315,TX,SFR,Apex Funding,Pier Asset Mgmt,0.06705000000000001,0.01847
L100421,181119.19,176182.77,6.063,700,83.2,41.1,26,334,IL,SFR,Meridian Home Loans,Pier Asset Mgmt,0.10060333333333335,0.00966
L100422,197197.27,190900.27,6.609,800,56.9,14.6,33,327,FL,Multifamily,Coastal Mortgage Co,Northgate Servicing,0.07955,0.008
L100423,144612.38,144395.94,7.474,691,65.7,37.6,2,358,FL,SFR,Apex Funding,Northgate Servicing,0.06,0.008576666666666666
L100424,177931.36,156584.53,6.351,721,62.0,35.6,33,147,CA,SFR,Highline Capital,Northgate Servicing,0.09245,0.008
L100425,214206.15,206146.36,6.878,777,82.7,47.9,40,320,WA,SFR,Coastal Mortgage Co,Northgate Servicing,0.06609999999999999,0.008
L100426,321661.41,307109.76,6.442,820,76.0,43.7,44,316,WA,SFR,Meridian Home Loans,Northgate Servicing,0.08789999999999999,0.008
L100427,443418.56,441805.8,6.512,683,57.3,26.9,4,356,TX,SFR,Meridian Home Loans,Summit Loan Servicing,0.06325333333333333,0.008
L100428,149677.23,148523.75,7.951,714,71.7,45.9,11,349,TX,Condo,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100429,278588.1,277961.71,7.482,815,56.1,33.9,3,357,OH,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.008
L100430,168688.59,161096.03,6.471,631,73.4,28.8,44,316,IL,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.07645,0.014759999999999999
L100431,286686.33,283266.28,6.593,772,54.1,37.6,13,347,CA,SFR,Coastal Mortgage Co,Northgate Servicing,0.06881833333333333,0.008
L100432,231913.49,225519.69,5.768,659,80.3,34.4,25,335,TX,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.10133333333333334,0.013023333333333331
L100433,127922.89,124962.01,6.244,721,78.5,48.3,23,337,IL,2-4 Unit,Highline Capital,Summit Loan Servicing,0.08898,0.008
L100434,336012.6,325416.44,6.678,702,96.9,38.7,33,327,GA,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.0761,0.010670000000000002
L100435,196467.0,188852.63,7.166,662,84.2,37.6,43,317,NC,SFR,Apex Funding,Summit Loan Servicing,0.06,0.013326666666666667
L100436,201417.45,198695.86,7.074,661,68.9,43.2,16,344,TX,SFR,Apex Funding,Pier Asset Mgmt,0.06,0.012270000000000001
L100437,166972.88,159276.69,5.402,730,83.8,44.7,38,322,NY,SFR,Meridian Home Loans,Pier Asset Mgmt,0.1399,0.008
L100438,193107.22,190925.64,7.279,770,57.2,42.3,14,346,FL,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100439,282028.01,279324.47,6.32,708,62.5,47.4,10,350,GA,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.07133333333333333,0.008
L100440,227240.56,223130.98,5.512,719,78.0,40.9,5,175,NY,Multifamily,Highline Capital,Northgate Servicing,0.0724,0.008
L100441,272401.32,268638.18,7.603,746,48.1,37.3,18,342,FL,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100442,275590.86,269837.47,7.717,662,73.6,45.9,27,333,OH,SFR,Highline Capital,Summit Loan Servicing,0.06,0.01282
L100443,385474.98,371586.48,6.637,756,61.8,35.3,37,323,GA,Condo,Apex Funding,Pier Asset Mgmt,0.07815000000000003,0.008
L100444,215351.07,207478.57,7.038,760,75.2,36.3,40,320,IL,SFR,Meridian Home Loans,Pier Asset Mgmt,0.06,0.008
L100445,144798.7,141667.98,7.091,820,61.1,49.8,25,335,TX,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100446,352754.58,347360.36,7.656,694,79.1,49.0,20,340,CA,2-4 Unit,Apex Funding,Northgate Servicing,0.06,0.010376666666666666
L100447,216204.31,214588.94,7.055,690,74.2,35.9,9,351,AZ,Condo,Highline Capital,Northgate Servicing,0.06,0.009413333333333334
L100448,358651.83,339087.68,5.205,757,90.8,32.4,43,317,WA,Multifamily,Meridian Home Loans,Pier Asset Mgmt,0.14975,0.008
L100449,277668.15,274058.54,8.209,760,74.1,47.7,19,341,GA,Condo,Highline Capital,Northgate Servicing,0.06,0.008
L100450,231909.36,224802.36,7.359,686,64.8,42.4,36,324,CA,SFR,Highline Capital,Northgate Servicing,0.06,0.009306666666666666
L100451,274325.75,265416.85,5.941,693,71.0,38.5,30,330,IL,Multifamily,Coastal Mortgage Co,Summit Loan Servicing,0.11295000000000001,0.008966666666666666
L100452,480630.66,454931.35,5.473,745,57.9,33.4,44,316,FL,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.13635000000000003,0.008
L100453,502295.16,480075.09,6.854,669,78.9,38.7,46,314,CA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.0673,0.01217
L100454,248769.84,239857.19,6.15,692,81.1,35.8,34,326,TX,Condo,Coastal Mortgage Co,Northgate Servicing,0.10249999999999998,0.009896666666666666
L100455,256803.56,249000.14,6.697,720,97.0,30.7,32,328,IL,2-4 Unit,Highline Capital,Summit Loan Servicing,0.07515,0.008346666666666667
L100456,353869.7,351830.99,7.069,770,66.5,37.0,7,353,IL,2-4 Unit,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100457,180596.16,180412.56,5.89,682,70.8,38.1,1,359,GA,SFR,Meridian Home Loans,Pier Asset Mgmt,0.061849999999999995,0.010020000000000001
L100458,272821.94,264443.27,5.396,614,67.1,33.0,26,334,NC,Condo,Meridian Home Loans,Northgate Servicing,0.11950666666666666,0.01611
L100459,240613.7,232871.18,6.747,610,76.5,43.2,34,326,FL,SFR,Meridian Home Loans,Summit Loan Servicing,0.06265000000000001,0.01813
L100460,270998.31,260235.67,5.92,646,78.6,46.3,36,324,FL,Condo,Apex Funding,Pier Asset Mgmt,0.10400000000000001,0.014946666666666667
L100461,181374.81,179359.43,6.531,643,73.4,43.8,12,348,NC,Condo,Coastal Mortgage Co,Northgate Servicing,0.059379999999999995,0.01456
L100462,139197.82,135124.51,5.191,706,87.0,33.8,24,336,TX,SFR,Highline Capital,Pier Asset Mgmt,0.13236000000000003,0.008953333333333334
L100463,117530.81,112379.29,6.173,650,66.6,42.0,41,319,CA,2-4 Unit,Highline Capital,Northgate Servicing,0.09135,0.01306
L100464,164212.33,163537.12,7.043,676,85.8,36.6,5,355,OH,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.01202
L100465,206790.95,203359.97,6.945,672,80.5,26.1,19,341,FL,SFR,Apex Funding,Summit Loan Servicing,0.06174166666666665,0.01119
L100466,219121.78,207545.23,5.69,691,73.9,41.4,45,315,TX,Multifamily,Highline Capital,Northgate Servicing,0.1255,0.00965
L100467,478317.93,472822.67,5.349,788,70.2,37.2,10,350,AZ,Condo,Highline Capital,Northgate Servicing,0.08751666666666666,0.008
L100468,357574.02,352454.83,6.414,751,97.0,55.0,15,345,GA,SFR,Apex Funding,Summit Loan Servicing,0.07465000000000001,0.008
L100469,173384.7,169998.87,6.905,716,64.2,47.7,22,338,TX,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.06348333333333332,0.008
L100470,274223.28,242297.04,6.765,690,77.6,41.7,33,147,OH,SFR,Highline Capital,Northgate Servicing,0.07175000000000001,0.01014
L100471,210559.3,207944.03,5.939,691,65.0,38.0,12,348,FL,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.08122,0.008533333333333334
L100472,219799.85,211688.51,6.668,733,95.4,37.3,38,322,NC,SFR,Highline Capital,Pier Asset Mgmt,0.07659999999999999,0.008
L100473,259072.7,249555.98,7.752,747,84.6,28.0,12,168,NC,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008
L100474,301555.66,296497.32,6.585,665,65.9,22.1,18,342,OH,SFR,Highline Capital,Northgate Servicing,0.07245,0.010163333333333333
L100475,215617.12,208139.36,4.93,717,80.2,29.0,27,333,AZ,Condo,Highline Capital,Summit Loan Servicing,0.15315,0.008
L100476,352338.64,352025.22,6.583,603,77.1,35.6,1,359,AZ,SFR,Apex Funding,Summit Loan Servicing,0.050695,0.018383333333333335
L100477,162807.15,143480.79,8.24,727,67.8,19.2,37,143,CA,SFR,Meridian Home Loans,Northgate Servicing,0.06,0.008
L100478,243340.91,212769.9,5.241,757,83.1,31.6,32,148,WA,2-4 Unit,Meridian Home Loans,Northgate Servicing,0.14795000000000003,0.008
L100479,602706.61,578128.05,6.427,700,78.7,34.0,40,320,TX,SFR,Highline Capital,Northgate Servicing,0.08865000000000002,0.008736666666666667
L100480,262518.78,259143.47,6.196,815,76.6,34.3,13,347,FL,Condo,Highline Capital,Pier Asset Mgmt,0.07742,0.008
L100481,400963.26,393711.0,6.486,667,73.5,30.7,19,341,IL,SFR,Apex Funding,Northgate Servicing,0.07627666666666667,0.011296666666666667
L100482,250704.96,239908.0,6.575,727,79.2,33.3,43,317,FL,SFR,Highline Capital,Pier Asset Mgmt,0.08124999999999999,0.008
L100483,297530.49,296625.72,7.426,713,76.8,49.8,4,356,GA,Condo,Highline Capital,Northgate Servicing,0.06,0.0083
L100484,238023.78,232500.3,6.476,709,74.7,41.3,24,336,CA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.08096,0.008
L100485,228743.68,224598.4,7.55,709,66.3,31.5,23,337,IL,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100486,184828.04,170415.25,6.294,721,94.3,35.5,22,158,NY,2-4 Unit,Highline Capital,Summit Loan Servicing,0.08588666666666668,0.008296666666666666
L100487,282266.09,276156.37,6.085,762,61.4,35.8,21,339,NC,SFR,Coastal Mortgage Co,Northgate Servicing,0.092025,0.008
L100488,180225.11,172912.66,5.798,791,79.1,29.9,36,324,GA,Condo,Meridian Home Loans,Pier Asset Mgmt,0.1201,0.008
L100489,306494.42,302579.43,4.765,715,70.2,29.8,10,350,AZ,SFR,Apex Funding,Northgate Servicing,0.09725,0.008
L100490,354991.97,300558.77,6.648,760,95.1,44.1,42,138,TX,SFR,Coastal Mortgage Co,Northgate Servicing,0.07760000000000002,0.008
L100491,276035.84,237153.34,8.249,676,63.2,32.6,43,137,WA,Condo,Coastal Mortgage Co,Northgate Servicing,0.06,0.009493333333333333
L100492,219654.9,217934.7,6.812,757,65.2,27.2,9,351,NY,SFR,Apex Funding,Northgate Servicing,0.06281999999999999,0.008
L100493,284613.66,272384.32,7.018,673,62.4,35.7,46,314,NY,SFR,Highline Capital,Northgate Servicing,0.06,0.00992
L100494,217937.68,215046.17,6.028,775,77.9,36.9,13,347,GA,Multifamily,Meridian Home Loans,Pier Asset Mgmt,0.08106000000000001,0.008
L100495,336866.33,335889.41,6.18,820,57.5,20.2,3,357,TX,SFR,Highline Capital,Summit Loan Servicing,0.0641,0.008
L100496,127900.5,125911.82,7.286,708,68.3,35.7,19,341,OH,Condo,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008
L100497,215892.83,209890.47,8.208,594,48.2,42.9,38,322,FL,SFR,Apex Funding,Summit Loan Servicing,0.049999999999999996,0.01688
L100498,120960.07,117069.84,7.739,685,76.9,39.6,40,320,WA,SFR,Highline Capital,Summit Loan Servicing,0.06,0.010430000000000002
L100499,143879.11,128645.58,7.125,783,68.0,53.8,31,149,TX,Condo,Meridian Home Loans,Northgate Servicing,0.06,0.008
L100500,391347.73,375844.16,6.432,745,56.1,46.0,39,321,OH,Condo,Meridian Home Loans,Northgate Servicing,0.08839999999999998,0.008
L100501,332140.96,328175.64,6.589,729,87.0,47.6,13,347,NY,SFR,Highline Capital,Pier Asset Mgmt,0.068905,0.008
L100502,188750.61,179562.14,5.722,770,58.3,55.0,42,318,NC,Condo,Coastal Mortgage Co,Summit Loan Servicing,0.12389999999999998,0.008
L100503,143504.8,138098.38,5.097,742,83.6,42.1,30,330,OH,SFR,Highline Capital,Summit Loan Servicing,0.15514999999999998,0.008
L100504,86026.86,85344.34,5.386,782,65.6,37.3,7,353,TX,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.07883,0.008
L100505,200742.16,199437.33,6.445,766,93.2,43.8,7,353,NY,Condo,Apex Funding,Northgate Servicing,0.06647499999999999,0.008
L100506,566450.66,559086.64,6.137,799,83.0,31.5,13,347,WA,SFR,Apex Funding,Northgate Servicing,0.07869833333333334,0.008
L100507,282719.21,281371.36,5.078,735,61.9,36.9,4,356,TX,SFR,Highline Capital,Summit Loan Servicing,0.07281333333333333,0.008
L100508,199615.78,196931.56,6.366,765,63.0,30.8,14,346,TX,Condo,Apex Funding,Pier Asset Mgmt,0.07479333333333334,0.008
L100509,285723.0,270983.96,6.113,698,81.3,39.2,47,313,GA,SFR,Apex Funding,Northgate Servicing,0.10434999999999997,0.009543333333333334
L100510,140598.64,138649.79,5.344,682,70.9,30.8,12,348,CA,Multifamily,Coastal Mortgage Co,Pier Asset Mgmt,0.09312,0.009543333333333334
L100511,218805.14,211857.74,6.067,809,72.0,30.5,30,330,WA,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.10665,0.008
L100512,251404.16,238740.49,6.111,727,89.3,39.3,46,314,WA,SFR,Coastal Mortgage Co,Northgate Servicing,0.10445000000000002,0.008
L100513,235593.88,232616.06,5.845,759,65.0,34.9,12,348,TX,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.08310000000000001,0.008
L100514,320225.96,311106.4,7.234,722,75.1,20.6,33,327,TX,Multifamily,Highline Capital,Pier Asset Mgmt,0.06,0.008
L100515,273929.44,265936.47,4.687,683,85.5,24.4,22,338,AZ,2-4 Unit,Meridian Home Loans,Pier Asset Mgmt,0.14481,0.010476666666666667
L100516,306788.57,301107.16,4.613,716,83.7,26.8,14,346,GA,SFR,Apex Funding,Summit Loan Servicing,0.11569666666666666,0.008
L100517,190816.92,158672.03,6.403,794,72.1,28.9,45,135,OH,SFR,Apex Funding,Pier Asset Mgmt,0.08985000000000001,0.008
L100518,332446.89,322308.2,6.487,746,70.5,39.3,31,329,WA,SFR,Highline Capital,Summit Loan Servicing,0.08564999999999999,0.008
L100519,429393.03,421198.21,6.764,621,53.1,37.8,21,339,IL,2-4 Unit,Apex Funding,Summit Loan Servicing,0.058259999999999985,0.01433
L100520,172896.37,165394.26,5.915,703,61.3,44.5,39,321,FL,Multifamily,Coastal Mortgage Co,Northgate Servicing,0.11424999999999999,0.008
L100521,177958.65,168839.48,5.574,813,77.8,42.0,43,317,NC,2-4 Unit,Meridian Home Loans,Northgate Servicing,0.13130000000000003,0.008
L100522,387520.69,372935.17,6.393,703,72.3,44.6,37,323,NC,SFR,Coastal Mortgage Co,Northgate Servicing,0.09035000000000001,0.008503333333333333
L100523,227073.63,216820.78,6.003,616,74.9,40.9,41,319,IL,2-4 Unit,Coastal Mortgage Co,Summit Loan Servicing,0.09985000000000001,0.017216666666666665
L100524,396859.46,392196.22,7.796,819,86.5,37.7,16,344,FL,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100525,207962.38,204370.98,6.108,753,59.8,44.8,17,343,FL,SFR,Apex Funding,Pier Asset Mgmt,0.08527333333333334,0.008
L100526,404038.7,399792.73,6.352,711,71.2,43.4,11,349,GA,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.07187999999999999,0.008
L100527,254236.45,248672.04,8.628,695,76.3,39.0,33,327,IL,SFR,Highline Capital,Pier Asset Mgmt,0.06,0.00933
L100528,265768.28,228220.27,6.225,775,65.6,46.2,38,142,IL,SFR,Meridian Home Loans,Summit Loan Servicing,0.09875000000000002,0.008
L100529,419849.38,373056.52,6.901,685,91.2,17.2,32,148,CA,SFR,Highline Capital,Summit Loan Servicing,0.06495000000000001,0.010366666666666666
L100530,213924.91,208383.28,6.982,778,84.9,33.7,29,331,OH,SFR,Coastal Mortgage Co,Summit Loan Servicing,0.06086999999999999,0.008
L100531,174661.88,152072.91,7.058,745,77.5,33.6,37,143,AZ,2-4 Unit,Coastal Mortgage Co,Summit Loan Servicing,0.06,0.008
L100532,207524.05,205850.94,6.661,728,95.5,45.2,9,351,WA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.065085,0.008363333333333334
L100533,284451.17,279669.88,6.574,723,56.0,48.6,18,342,OH,SFR,Highline Capital,Northgate Servicing,0.07278,0.008
L100534,140362.6,123138.35,6.49,705,73.9,24.4,34,146,NC,SFR,Apex Funding,Pier Asset Mgmt,0.08549999999999999,0.008
L100535,303493.3,302561.71,5.882,773,78.4,47.3,3,357,NY,SFR,Meridian Home Loans,Pier Asset Mgmt,0.06559,0.008
L100536,201074.35,192593.83,6.693,667,63.0,26.6,43,317,NC,SFR,Highline Capital,Summit Loan Servicing,0.07535000000000001,0.009973333333333334
L100537,362846.24,360695.32,8.226,626,77.6,26.9,9,351,GA,Condo,Meridian Home Loans,Summit Loan Servicing,0.049999999999999996,0.015553333333333332
L100538,105030.8,101791.31,7.49,749,60.7,34.1,37,323,WA,SFR,Coastal Mortgage Co,Pier Asset Mgmt,0.06,0.008
L100539,184370.39,179315.3,6.674,750,82.3,33.5,29,331,FL,SFR,Apex Funding,Northgate Servicing,0.07575666666666664,0.008
L100540,134556.05,129753.35,7.17,741,86.7,23.5,40,320,CA,2-4 Unit,Apex Funding,Northgate Servicing,0.06,0.008
L100541,181828.59,155804.26,5.618,737,77.3,41.2,37,143,TX,SFR,Coastal Mortgage Co,Northgate Servicing,0.1291,0.008
L100542,264787.54,240905.75,6.166,697,51.8,41.4,25,155,TX,Condo,Highline Capital,Pier Asset Mgmt,0.09474999999999999,0.008
L100543,228038.71,220912.66,7.253,758,62.4,44.4,36,324,NC,SFR,Highline Capital,Northgate Servicing,0.06,0.008
L100544,222196.6,219381.72,7.738,712,80.8,32.5,17,343,TX,2-4 Unit,Highline Capital,Summit Loan Servicing,0.06,0.008
L100545,229643.94,222421.35,5.706,688,74.3,35.7,28,332,TX,SFR,Coastal Mortgage Co,Northgate Servicing,0.12038666666666664,0.00961
L100546,260715.72,216614.3,5.965,698,41.7,35.8,44,136,NY,SFR,Highline Capital,Summit Loan Servicing,0.11175000000000002,0.008
L100547,170588.99,170159.36,8.363,820,88.9,49.5,4,356,AZ,SFR,Meridian Home Loans,Summit Loan Servicing,0.06,0.008
L100548,310953.1,305949.32,6.487,620,75.6,13.3,17,343,IL,SFR,Highline Capital,Summit Loan Servicing,0.064535,0.015046666666666667
L100549,306181.42,305977.69,8.041,742,64.2,28.3,1,359,FL,2-4 Unit,Apex Funding,Pier Asset Mgmt,0.06,0.008
L100550,277829.61,270947.24,6.586,623,85.9,36.0,26,334,FL,SFR,Apex Funding,Pier Asset Mgmt,0.06793999999999999,0.01729
L100551,295016.54,255658.99,6.622,709,65.9,27.3,37,143,OH,SFR,Meridian Home Loans,Summit Loan Servicing,0.0789,0.008
L100552,269344.44,268819.54,6.125,691,65.7,33.9,2,358,IL,2-4 Unit,Highline Capital,Pier Asset Mgmt,0.06291666666666666,0.00833
L100553,494981.49,484141.81,7.248,600,78.3,35.0,26,334,NY,2-4 Unit,Coastal Mortgage Co,Pier Asset Mgmt,0.049999999999999996,0.018763333333333333
L100554,235511.97,231886.89,7.622,736,95.4,30.7,20,340,AZ,SFR,Apex Funding,Northgate Servicing,0.06,0.008
L100555,218058.98,208405.62,5.468,694,93.5,36.5,37,323,NY,SFR,Meridian Home Loans,Summit Loan Servicing,0.1366,0.010983333333333335
L100556,186514.7,184452.74,6.083,600,78.3,41.0,11,349,NY,Condo,Highline Capital,Northgate Servicing,0.06681166666666667,0.019163333333333334
L100557,169178.23,168094.33,7.224,761,79.5,34.1,8,352,AZ,Condo,Coastal Mortgage Co,Northgate Servicing,0.06,0.008
L100558,157068.12,156319.89,6.283,794,83.5,32.4,5,355,NY,2-4 Unit,Highline Capital,Northgate Servicing,0.06597499999999999,0.008
L100559,177890.05,174144.79,5.956,797,58.9,34.7,20,340,GA,2-4 Unit,Highline Capital,Northgate Servicing,0.09479999999999998,0.008
